GEO_ID,STATE,NAME,LSAD,CENSUSAREA,population
0400000US23,23,Maine,,30842.923,"1,318,301"
0400000US25,25,Massachusetts,,7800.058,"6,593,587"
0400000US26,26,Michigan,,56538.901,"9,969,727"
0400000US30,30,Montana,,145545.801,"974,989"
0400000US32,32,Nevada,,109781.18,"2,643,085"
0400000US34,34,New Jersey,,7354.22,"8,707,739"
0400000US36,36,New York,,47126.399,"19,541,453"
0400000US37,37,North Carolina,,48617.905,"9,380,884"
0400000US39,39,Ohio,,40860.694,"11,542,645"
0400000US42,42,Pennsylvania,,44742.703,"12,604,767"
0400000US44,44,Rhode Island,,1033.814,"1,053,209"
0400000US47,47,Tennessee,,41234.896,"6,296,254"
0400000US48,48,Texas,,261231.711,"24,782,302"
0400000US49,49,Utah,,82169.62,"2,784,572"
0400000US53,53,Washington,,66455.521,"6,664,195"
0400000US55,55,Wisconsin,,54157.805,"5,654,774"
0400000US72,72,Puerto Rico,,3423.775,"3,548,000"
0400000US24,24,Maryland,,9707.241,"5,699,478"
0400000US01,01,Alabama,,50645.326,"4,708,708"
0400000US02,02,Alaska,,570640.95,"698,473"
0400000US04,04,Arizona,,113594.084,"6,595,778"
0400000US05,05,Arkansas,,52035.477,"2,889,450"
0400000US06,06,California,,155779.22,"36,961,664"
0400000US08,08,Colorado,,103641.888,"5,024,748"
0400000US09,09,Connecticut,,4842.355,"3,518,288"
0400000US10,10,Delaware,,1948.543,"885,122"
0400000US11,11,District of Columbia,,61.048,"658,893"
0400000US12,12,Florida,,53624.759,"18,537,969"
0400000US13,13,Georgia,,57513.485,"9,829,211"
0400000US15,15,Hawaii,,6422.628,"1,295,178"
0400000US16,16,Idaho,,82643.117,"1,545,801"
0400000US17,17,Illinois,,55518.93,"12,910,409"
0400000US18,18,Indiana,,35826.109,"6,423,113"
0400000US19,19,Iowa,,55857.13,"3,007,856"
0400000US20,20,Kansas,,81758.717,"2,818,747"
0400000US21,21,Kentucky,,39486.338,"4,314,113"
0400000US22,22,Louisiana,,43203.905,"4,492,076"
0400000US27,27,Minnesota,,79626.743,"5,266,214"
0400000US28,28,Mississippi,,46923.274,"2,951,996"
0400000US29,29,Missouri,,68741.522,"5,987,580"
0400000US31,31,Nebraska,,76824.171,"1,796,619"
0400000US33,33,New Hampshire,,8952.651,"1,324,575"
0400000US35,35,New Mexico,,121298.148,"2,009,671"
0400000US38,38,North Dakota,,69000.798,"646,844"
0400000US40,40,Oklahoma,,68594.921,"3,687,050"
0400000US41,41,Oregon,,95988.013,"3,825,657"
0400000US45,45,South Carolina,,30060.696,"4,561,242"
0400000US46,46,South Dakota,,75811,"812,383"
0400000US50,50,Vermont,,9216.657,"621,760"
0400000US51,51,Virginia,,39490.086,"7,882,590"
0400000US54,54,West Virginia,,24038.21,"1,819,777"
0400000US56,56,Wyoming,,97093.141,"544,270"
